Season,Team,Wins,Losses,Draws,Games,HomeGoals,AwayGoals,WonAtLeast2,WonAtLeast3,HalfTimeWins,HalfTimeLosses,HalfTimeDraws,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeClutch,HalfTimeChoke,AVGHomeShots,AVGAwayShots,AVGHomeShotsTarget,AVGAwayShotsTarget,AVGHomeYellow,AVGAwayYellow,AVGHomeRed,AVGAwayRed,AVGHomeFouls,AVGAwayFouls,AVGHomeCorners,AVGAwayCorners
2003-2004,Arsenal,26.0,0.0,12.0,38.0,40.0,33.0,12.0,6.0,18.0,5.0,15.0,19.0,18.0,3.0,3.0,6.842105263157895,5.552631578947368,3.973684210526316,3.210526315789474,0.6052631578947368,0.7631578947368421,0.02631578947368421,0.05263157894736842,6.2105263157894735,6.921052631578948,3.1052631578947367,2.210526315789474
2003-2004,Everton,9.0,17.0,12.0,38.0,27.0,18.0,5.0,1.0,8.0,15.0,15.0,12.0,9.0,0.0,0.0,6.894736842105263,4.421052631578948,3.6052631578947367,2.0526315789473686,0.7105263157894737,0.6842105263157895,0.02631578947368421,0.05263157894736842,5.842105263157895,6.2105263157894735,3.473684210526316,2.8947368421052633
2003-2004,Birmingham,12.0,12.0,14.0,38.0,26.0,17.0,7.0,2.0,9.0,11.0,18.0,12.0,5.0,2.0,2.0,4.868421052631579,3.763157894736842,2.789473684210526,1.8421052631578947,0.631578947368421,0.5526315789473685,0.07894736842105263,0.05263157894736842,6.605263157894737,6.684210526315789,2.9210526315789473,1.9473684210526316
2003-2004,Tottenham,13.0,19.0,6.0,38.0,33.0,14.0,5.0,3.0,9.0,14.0,15.0,13.0,6.0,0.0,0.0,6.578947368421052,4.5,3.736842105263158,2.4210526315789473,0.5526315789473685,1.0263157894736843,0.0,0.02631578947368421,6.657894736842105,8.18421052631579,2.710526315789474,2.5
2003-2004,Blackburn,12.0,18.0,8.0,38.0,25.0,26.0,3.0,2.0,9.0,13.0,16.0,14.0,8.0,1.0,1.0,6.578947368421052,5.2894736842105265,3.5526315789473686,2.5526315789473686,0.7368421052631579,0.868421052631579,0.02631578947368421,0.05263157894736842,6.078947368421052,7.421052631578948,3.3947368421052633,2.5789473684210527
2003-2004,Wolves,7.0,19.0,12.0,38.0,23.0,15.0,2.0,0.0,3.0,18.0,17.0,6.0,8.0,2.0,2.0,5.526315789473684,4.947368421052632,2.6842105263157894,2.3421052631578947,0.7894736842105263,0.9473684210526315,0.02631578947368421,0.02631578947368421,5.947368421052632,6.2105263157894735,2.6578947368421053,2.026315789473684
2003-2004,Fulham,14.0,14.0,10.0,38.0,29.0,23.0,10.0,1.0,10.0,11.0,17.0,14.0,6.0,2.0,2.0,5.605263157894737,4.973684210526316,3.1052631578947367,2.710526315789474,0.6842105263157895,0.9210526315789473,0.05263157894736842,0.02631578947368421,6.973684210526316,6.526315789473684,2.4210526315789473,1.7894736842105263
2003-2004,Middlesbrough,13.0,16.0,9.0,38.0,25.0,19.0,6.0,1.0,12.0,12.0,14.0,13.0,9.0,0.0,0.0,6.868421052631579,5.2631578947368425,3.8947368421052633,2.789473684210526,0.7105263157894737,0.7894736842105263,0.0,0.02631578947368421,6.2368421052631575,6.842105263157895,2.789473684210526,1.868421052631579
2003-2004,Leicester,6.0,17.0,15.0,38.0,19.0,29.0,5.0,2.0,10.0,13.0,15.0,9.0,11.0,1.0,1.0,5.578947368421052,4.052631578947368,3.3947368421052633,2.236842105263158,0.6578947368421053,0.8947368421052632,0.05263157894736842,0.13157894736842105,6.7894736842105265,6.973684210526316,3.1842105263157894,2.289473684210526
2003-2004,Southampton,12.0,15.0,11.0,38.0,24.0,20.0,7.0,2.0,10.0,12.0,16.0,10.0,8.0,1.0,1.0,6.552631578947368,5.473684210526316,3.8157894736842106,3.1578947368421053,0.7105263157894737,0.6578947368421053,0.02631578947368421,0.05263157894736842,6.2105263157894735,5.657894736842105,2.6315789473684212,3.1842105263157894
2003-2004,Man United,23.0,9.0,6.0,38.0,37.0,27.0,10.0,6.0,17.0,7.0,14.0,17.0,15.0,0.0,0.0,6.815789473684211,6.184210526315789,3.736842105263158,3.736842105263158,0.5263157894736842,0.6052631578947368,0.0,0.07894736842105263,5.342105263157895,5.947368421052632,3.026315789473684,2.6315789473684212
2003-2004,Bolton,14.0,13.0,11.0,38.0,24.0,24.0,5.0,1.0,8.0,14.0,16.0,9.0,11.0,1.0,1.0,8.157894736842104,5.868421052631579,4.657894736842105,2.973684210526316,0.8157894736842105,0.9210526315789473,0.0,0.0,6.078947368421052,6.052631578947368,4.078947368421052,2.1842105263157894
2003-2004,Portsmouth,12.0,17.0,9.0,38.0,35.0,12.0,6.0,3.0,10.0,16.0,12.0,13.0,5.0,2.0,2.0,6.184210526315789,4.421052631578948,3.526315789473684,2.1842105263157894,0.6842105263157895,0.9473684210526315,0.0,0.07894736842105263,6.684210526315789,7.7894736842105265,2.8684210526315788,2.210526315789474
2003-2004,Aston Villa,15.0,12.0,11.0,38.0,24.0,24.0,6.0,3.0,14.0,8.0,16.0,14.0,11.0,0.0,0.0,6.315789473684211,5.394736842105263,3.4210526315789473,2.6315789473684212,0.6052631578947368,0.7631578947368421,0.0,0.07894736842105263,7.421052631578948,7.105263157894737,3.473684210526316,3.0526315789473686
2003-2004,Charlton,14.0,13.0,11.0,38.0,29.0,22.0,4.0,1.0,12.0,15.0,11.0,15.0,8.0,0.0,0.0,5.684210526315789,4.421052631578948,3.0526315789473686,2.210526315789474,0.5263157894736842,0.42105263157894735,0.05263157894736842,0.02631578947368421,5.947368421052632,6.368421052631579,2.8684210526315788,2.4210526315789473
2003-2004,Man City,9.0,15.0,14.0,38.0,31.0,24.0,7.0,5.0,12.0,12.0,14.0,11.0,13.0,2.0,2.0,7.894736842105263,5.657894736842105,4.315789473684211,3.3684210526315788,0.5,0.7368421052631579,0.02631578947368421,0.05263157894736842,4.7631578947368425,6.421052631578948,3.4473684210526314,2.3684210526315788
2003-2004,Leeds,8.0,21.0,9.0,38.0,25.0,15.0,1.0,1.0,11.0,12.0,15.0,14.0,10.0,0.0,0.0,5.526315789473684,4.0,2.8157894736842106,1.9473684210526316,0.8947368421052632,0.9736842105263158,0.07894736842105263,0.05263157894736842,7.315789473684211,6.947368421052632,2.789473684210526,2.4473684210526314
2003-2004,Newcastle,13.0,8.0,17.0,38.0,33.0,19.0,7.0,3.0,14.0,5.0,19.0,17.0,10.0,2.0,2.0,7.368421052631579,4.421052631578948,4.368421052631579,2.526315789473684,0.4473684210526316,0.7631578947368421,0.0,0.07894736842105263,6.5,6.2894736842105265,3.736842105263158,2.5
2003-2004,Liverpool,16.0,10.0,12.0,38.0,29.0,26.0,9.0,4.0,12.0,8.0,18.0,12.0,12.0,0.0,0.0,8.0,6.684210526315789,4.105263157894737,3.789473684210526,0.42105263157894735,0.8157894736842105,0.0,0.02631578947368421,5.868421052631579,6.052631578947368,3.8684210526315788,2.973684210526316
2003-2004,Chelsea,24.0,7.0,7.0,38.0,34.0,33.0,9.0,6.0,17.0,4.0,17.0,18.0,15.0,0.0,0.0,6.684210526315789,5.973684210526316,3.210526315789474,3.210526315789474,0.4473684210526316,0.7368421052631579,0.05263157894736842,0.02631578947368421,5.315789473684211,6.315789473684211,3.3157894736842106,2.6842105263157894
2004-2005,Aston Villa,12.0,15.0,11.0,38.0,26.0,19.0,7.0,3.0,7.0,16.0,15.0,13.0,8.0,1.0,1.0,5.552631578947368,4.894736842105263,2.9473684210526314,2.5,0.47368421052631576,1.0,0.02631578947368421,0.02631578947368421,6.5,8.763157894736842,2.9473684210526314,2.710526315789474
2004-2005,Southampton,6.0,18.0,14.0,38.0,30.0,15.0,2.0,0.0,4.0,16.0,18.0,15.0,6.0,1.0,1.0,5.947368421052632,4.157894736842105,2.8947368421052633,2.0789473684210527,0.42105263157894735,0.7105263157894737,0.02631578947368421,0.02631578947368421,5.842105263157895,7.052631578947368,2.473684210526316,2.1578947368421053
2004-2005,Blackburn,9.0,14.0,15.0,38.0,21.0,11.0,3.0,2.0,9.0,11.0,18.0,12.0,3.0,0.0,0.0,6.5,4.947368421052632,3.289473684210526,2.236842105263158,0.868421052631579,1.0526315789473684,0.07894736842105263,0.05263157894736842,8.078947368421053,7.526315789473684,3.236842105263158,2.3684210526315788
2004-2005,West Brom,6.0,16.0,16.0,38.0,17.0,19.0,4.0,1.0,7.0,11.0,20.0,5.0,10.0,0.0,0.0,4.605263157894737,4.368421052631579,2.289473684210526,2.526315789473684,0.5,0.5789473684210527,0.05263157894736842,0.07894736842105263,6.631578947368421,6.526315789473684,3.026315789473684,1.9473684210526316
