date,home_team,away_team,home_score,away_score,home_position,away_position,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_avg_goals_scored_per_match,away_avg_goals_scored_per_match,home_avg_goals_conceded_per_match,away_avg_goals_conceded_per_match,home_clean_sheets,away_clean_sheets,home_biggest_win,away_biggest_win,home_worst_defeat,away_worst_defeat,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
08/17/2013,Arsenal,Aston Villa,1,3,4,15,24,10,7,8,7,20,1.79,1.03,1.08,1.61,17,9,4 - 1 v Norwich ( H),4 - 1 v Norwich ( H),6 - 0 v Chelsea ( A),4 - 0 v Man City ( A),63.8,36.2,4.0,5.0,15.0,10.0,729.0,481.0,522.0,297.0,10.0,21.0,16.0,31.0,4.0,3.0,3.0,1.0,4.0,5.0,1.0,0.0,15.0,19.0
08/17/2013,Liverpool,Stoke City,1,0,2,9,26,13,6,11,6,14,2.66,1.18,1.32,1.37,10,9,0 - 5 v Spurs ( A),1 - 4 v Aston Villa ( A),3 - 1 v Hull ( A),5 - 1 v Newcastle ( A),55.3,44.7,11.0,6.0,25.0,12.0,765.0,669.0,520.0,416.0,34.0,34.0,18.0,31.0,12.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,11.0,12.0
08/17/2013,Norwich City,Everton,2,2,18,5,8,21,9,9,21,8,0.74,1.61,1.63,1.03,12,15,3 - 1 v West Ham ( H),4 - 0 v Stoke ( H),7 - 0 v Man City ( A),4 - 0 v Liverpool ( A),33.0,67.0,2.0,7.0,8.0,20.0,459.0,786.0,258.0,564.0,22.0,20.0,27.0,27.0,6.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,14.0,10.0
08/17/2013,Sunderland,Fulham,0,1,14,19,10,9,8,5,20,24,1.08,1.05,1.58,2.24,11,5,4 - 0 v Cardiff ( H),1 - 4 v Crystal Palace ( A),5 - 1 v Spurs ( A),6 - 0 v Hull ( A),57.8,42.2,3.0,1.0,21.0,5.0,644.0,533.0,460.0,326.0,24.0,13.0,13.0,31.0,6.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,15.0,14.0
08/17/2013,Swansea City,Manchester United,1,4,12,7,11,19,9,7,18,12,1.42,1.68,1.42,1.13,8,13,4 - 0 v Sunderland ( H),0 - 4 v Newcastle ( A),1 - 4 v Man Utd ( H),4 - 1 v Man City ( A),53.7,46.3,6.0,8.0,17.0,14.0,738.0,662.0,534.0,471.0,14.0,9.0,27.0,42.0,7.0,4.0,2.0,5.0,1.0,3.0,0.0,0.0,13.0,10.0
08/17/2013,West Bromwich Albion,Southampton,0,1,17,8,7,15,15,11,16,12,1.13,1.42,1.55,1.21,7,15,3 - 0 v Sunderland ( H),4 - 0 v Newcastle ( H),4 - 1 v Liverpool ( A),4 - 1 v Man City ( A),46.7,53.3,1.0,3.0,11.0,8.0,568.0,620.0,363.0,400.0,16.0,11.0,38.0,39.0,4.0,8.0,1.0,2.0,4.0,0.0,0.0,0.0,15.0,25.0
08/17/2013,West Ham United,Cardiff City,2,0,13,20,11,7,7,9,20,22,1.05,0.84,1.34,1.95,14,7,0 - 3 v Spurs ( A),3 - 1 v Fulham ( H),4 - 1 v Liverpool ( A),0 - 4 v Hull ( H),43.6,56.4,4.0,1.0,18.0,12.0,488.0,561.0,294.0,385.0,11.0,11.0,40.0,29.0,4.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0
08/18/2013,Chelsea,Hull City,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/18/2013,Crystal Palace,Tottenham Hotspur,0,1,11,6,13,21,6,6,19,11,0.87,1.45,1.26,1.34,12,14,0 - 3 v Cardiff ( A),5 - 1 v Sunderland ( H),1 - 4 v Fulham ( H),6 - 0 v Man City ( A),41.8,58.2,3.0,3.0,5.0,18.0,551.0,744.0,362.0,510.0,21.0,24.0,27.0,37.0,3.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,8.0
08/19/2013,Manchester City,Newcastle United,4,0,1,10,27,15,5,4,6,19,2.68,1.13,0.97,1.55,16,10,7 - 0 v Norwich ( H),5 - 1 v Stoke ( H),3 - 2 v Cardiff ( A),4 - 0 v Man City ( A),63.5,36.5,11.0,1.0,20.0,6.0,855.0,572.0,665.0,377.0,29.0,14.0,17.0,21.0,8.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,9.0,8.0
08/21/2013,Chelsea,Aston Villa,2,1,3,15,25,10,7,8,6,20,1.87,1.03,0.71,1.61,18,9,6 - 0 v Arsenal ( H),4 - 1 v Norwich ( H),2 - 0 v Newcastle ( A),4 - 0 v Man City ( A),69.2,30.8,3.0,3.0,15.0,7.0,856.0,459.0,677.0,286.0,16.0,13.0,29.0,26.0,1.0,2.0,5.0,5.0,1.0,4.0,0.0,0.0,13.0,16.0
08/24/2013,Aston Villa,Liverpool,0,1,15,2,10,26,8,6,20,6,1.03,2.66,1.61,1.32,9,10,4 - 1 v Norwich ( H),0 - 5 v Spurs ( A),4 - 0 v Man City ( A),3 - 1 v Hull ( A),47.4,52.6,3.0,1.0,17.0,5.0,704.0,756.0,481.0,546.0,31.0,23.0,18.0,35.0,8.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,10.0,8.0
08/24/2013,Everton,West Bromwich Albion,0,0,5,17,21,7,9,15,8,16,1.61,1.13,1.03,1.55,15,7,4 - 0 v Stoke ( H),3 - 0 v Sunderland ( H),4 - 0 v Liverpool ( A),4 - 1 v Liverpool ( A),62.3,37.7,8.0,2.0,22.0,7.0,720.0,500.0,478.0,298.0,20.0,23.0,36.0,45.0,11.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,15.0,17.0
08/24/2013,Fulham,Arsenal,1,3,19,4,9,24,5,7,24,7,1.05,1.79,2.24,1.08,5,17,1 - 4 v Crystal Palace ( A),4 - 1 v Norwich ( H),6 - 0 v Hull ( A),6 - 0 v Chelsea ( A),46.2,53.8,7.0,9.0,16.0,19.0,664.0,737.0,479.0,556.0,18.0,10.0,25.0,19.0,1.0,8.0,3.0,0.0,2.0,2.0,0.0,0.0,10.0,9.0
08/24/2013,Hull City,Norwich City,1,0,16,18,10,8,7,9,21,21,1,0.74,1.39,1.63,10,12,6 - 0 v Fulham ( H),3 - 1 v West Ham ( H),4 - 1 v Southampton ( A),7 - 0 v Man City ( A),38.7,61.3,2.0,4.0,7.0,13.0,567.0,765.0,360.0,582.0,19.0,13.0,28.0,14.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,19.0
08/24/2013,Newcastle United,West Ham United,0,0,10,13,15,11,4,7,19,20,1.13,1.05,1.55,1.34,10,14,5 - 1 v Stoke ( H),0 - 3 v Spurs ( A),4 - 0 v Man City ( A),4 - 1 v Liverpool ( A),55.2,44.8,0.0,1.0,16.0,6.0,637.0,522.0,417.0,323.0,17.0,24.0,25.0,33.0,5.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,12.0,15.0
08/24/2013,Southampton,Sunderland,1,1,8,14,15,10,11,8,12,20,1.42,1.08,1.21,1.58,15,11,4 - 0 v Newcastle ( H),4 - 0 v Cardiff ( H),4 - 1 v Man City ( A),5 - 1 v Spurs ( A),66.6,33.4,6.0,3.0,17.0,8.0,760.0,454.0,540.0,260.0,12.0,21.0,38.0,34.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,11.0,13.0
08/24/2013,Stoke City,Crystal Palace,2,1,9,11,13,13,11,6,14,19,1.18,0.87,1.37,1.26,9,12,1 - 4 v Aston Villa ( A),0 - 3 v Cardiff ( A),5 - 1 v Newcastle ( A),1 - 4 v Fulham ( H),49.6,50.4,4.0,5.0,14.0,14.0,640.0,669.0,409.0,437.0,20.0,31.0,23.0,37.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,6.0
08/25/2013,Cardiff City,Manchester City,3,2,20,1,7,27,9,5,22,6,0.84,2.68,1.95,0.97,7,16,3 - 1 v Fulham ( H),7 - 0 v Norwich ( H),0 - 4 v Hull ( H),3 - 2 v Cardiff ( A),30.0,70.0,6.0,5.0,9.0,16.0,450.0,804.0,264.0,637.0,16.0,12.0,36.0,17.0,3.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0
08/25/2013,Tottenham Hotspur,Swansea City,1,0,6,12,21,11,6,9,11,18,1.45,1.42,1.34,1.42,14,8,5 - 1 v Sunderland ( H),4 - 0 v Sunderland ( H),6 - 0 v Man City ( A),1 - 4 v Man Utd ( H),47.6,52.4,7.0,5.0,21.0,7.0,672.0,719.0,454.0,511.0,22.0,14.0,30.0,43.0,8.0,3.0,0.0,3.0,1.0,4.0,0.0,0.0,10.0,15.0
08/26/2013,Manchester United,Chelsea,0,0,7,3,19,25,7,7,12,6,1.68,1.87,1.13,0.71,13,18,0 - 4 v Newcastle ( A),6 - 0 v Arsenal ( H),4 - 1 v Man City ( A),2 - 0 v Newcastle ( A),55.2,44.8,3.0,4.0,12.0,8.0,756.0,635.0,550.0,448.0,22.0,15.0,35.0,26.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,9.0,10.0
08/31/2013,Cardiff City,Everton,0,0,20,5,7,21,9,9,22,8,0.84,1.61,1.95,1.03,7,15,3 - 1 v Fulham ( H),4 - 0 v Stoke ( H),0 - 4 v Hull ( H),4 - 0 v Liverpool ( A),37.0,63.0,1.0,3.0,4.0,13.0,501.0,724.0,302.0,514.0,23.0,15.0,38.0,26.0,4.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,11.0,7.0
08/31/2013,Crystal Palace,Sunderland,3,1,11,14,13,10,6,8,19,20,0.87,1.08,1.26,1.58,12,11,0 - 3 v Cardiff ( A),4 - 0 v Cardiff ( H),1 - 4 v Fulham ( H),5 - 1 v Spurs ( A),50.0,50.0,7.0,2.0,18.0,10.0,658.0,628.0,419.0,407.0,28.0,24.0,51.0,33.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,7.0
08/31/2013,Manchester City,Hull City,2,0,1,16,27,10,5,7,6,21,2.68,1,0.97,1.39,16,10,7 - 0 v Norwich ( H),6 - 0 v Fulham ( H),3 - 2 v Cardiff ( A),4 - 1 v Southampton ( A),58.2,41.8,6.0,2.0,12.0,7.0,725.0,568.0,529.0,376.0,18.0,19.0,27.0,23.0,7.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,15.0,14.0
08/31/2013,Newcastle United,Fulham,1,0,10,19,15,9,4,5,19,24,1.13,1.05,1.55,2.24,10,5,5 - 1 v Stoke ( H),1 - 4 v Crystal Palace ( A),4 - 0 v Man City ( A),6 - 0 v Hull ( A),53.8,46.2,9.0,2.0,24.0,3.0,681.0,615.0,466.0,417.0,20.0,13.0,22.0,38.0,13.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,13.0,10.0
08/31/2013,Norwich City,Southampton,1,0,18,8,8,15,9,11,21,12,0.74,1.42,1.63,1.21,12,15,3 - 1 v West Ham ( H),4 - 0 v Newcastle ( H),7 - 0 v Man City ( A),4 - 1 v Man City ( A),42.2,57.8,4.0,2.0,14.0,11.0,568.0,687.0,341.0,480.0,30.0,19.0,29.0,16.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,11.0,15.0
08/31/2013,West Ham United,Stoke City,0,1,13,9,11,13,7,11,20,14,1.05,1.18,1.34,1.37,14,9,0 - 3 v Spurs ( A),1 - 4 v Aston Villa ( A),4 - 1 v Liverpool ( A),5 - 1 v Newcastle ( A),44.9,55.1,0.0,5.0,9.0,15.0,517.0,581.0,321.0,405.0,12.0,17.0,29.0,27.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,12.0
