Season,Team,Total Post,Total Comments,Score,Postivie,Negative
2012-2013,Arsenal,12,40,18,2,1
2013-2014,Arsenal,148,782,474,44,4
2014-2015,Arsenal,114,366,217,25,2
2015-2016,Arsenal,139,365,291,17,1
2016-2017,Arsenal,286,1086,423,21,5
2017-2018,Arsenal,648,3539,1027,58,6
2018-2019,Arsenal,385,4524,2375,103,6
2019-2020,Arsenal,587,5218,5995,170,21
2012-2013,Aston Villa,4,14,7,0,1
2013-2014,Aston Villa,71,526,282,27,4
2014-2015,Aston Villa,47,241,175,22,1
2015-2016,Aston Villa,37,51,21,3,0
2016-2017,Aston Villa,7,33,11,1,0
2017-2018,Aston Villa,8,61,43,4,1
2018-2019,Aston Villa,51,1664,599,20,3
2019-2020,Aston Villa,136,1650,2081,47,14
2012-2013,Burnley,0,0,0,0,0
2013-2014,Burnley,22,260,121,12,1
2014-2015,Burnley,29,172,79,19,1
2015-2016,Burnley,4,93,26,2,0
2016-2017,Burnley,33,143,104,5,1
2017-2018,Burnley,127,906,297,23,6
2018-2019,Burnley,81,1286,562,25,4
2019-2020,Burnley,91,460,612,43,9
2012-2013,Chelsea,12,44,4,2,0
2013-2014,Chelsea,130,812,506,45,5
2014-2015,Chelsea,144,576,327,24,2
2015-2016,Chelsea,155,569,301,17,1
2016-2017,Chelsea,268,909,440,18,1
2017-2018,Chelsea,551,2559,783,47,5
2018-2019,Chelsea,404,4528,2355,106,12
2019-2020,Chelsea,609,4911,6638,183,29
2012-2013,Crystal Palace,6,22,0,0,0
2013-2014,Crystal Palace,79,539,354,26,4
2014-2015,Crystal Palace,43,217,156,21,1
2015-2016,Crystal Palace,30,65,55,6,0
2016-2017,Crystal Palace,48,165,102,7,1
2017-2018,Crystal Palace,145,796,288,21,7
2018-2019,Crystal Palace,88,889,470,24,4
2019-2020,Crystal Palace,106,1058,1113,35,7
2012-2013,Everton,6,25,7,0,1
2013-2014,Everton,118,864,455,35,5
2014-2015,Everton,65,278,193,20,2
2015-2016,Everton,71,270,94,7,0
2016-2017,Everton,89,410,215,5,1
2017-2018,Everton,233,993,366,26,4
2018-2019,Everton,142,1211,870,40,6
2019-2020,Everton,197,1730,2580,75,21
2012-2013,Hull City,5,11,2,0,0
2013-2014,Hull City,75,552,267,26,5
2014-2015,Hull City,28,134,45,16,1
2015-2016,Hull City,6,57,17,1,0
2016-2017,Hull City,32,130,27,3,0
2017-2018,Hull City,9,94,41,2,1
2018-2019,Hull City,1,3,7,1,0
2019-2020,Hull City,9,9,139,4,4
2012-2013,Leicester City,0,0,0,0,0
2013-2014,Leicester City,19,233,62,14,1
2014-2015,Leicester City,31,140,166,18,1
2015-2016,Leicester City,71,506,94,3,0
2016-2017,Leicester City,71,368,129,6,1
2017-2018,Leicester City,157,532,176,18,4
2018-2019,Leicester City,94,1177,749,21,7
2019-2020,Leicester City,134,1323,2045,55,14
2012-2013,Liverpool,14,47,1,0,0
2013-2014,Liverpool,156,850,483,41,5
2014-2015,Liverpool,121,551,266,22,1
2015-2016,Liverpool,141,390,230,15,0
2016-2017,Liverpool,192,659,316,12,3
2017-2018,Liverpool,734,3025,1069,43,10
2018-2019,Liverpool,479,3699,3004,95,23
2019-2020,Liverpool,907,5440,11050,230,57
2012-2013,Manchester City,8,21,1,0,0
2013-2014,Manchester City,116,690,324,32,5
2014-2015,Manchester City,60,226,178,8,0
2015-2016,Manchester City,77,229,78,2,0
2016-2017,Manchester City,148,453,141,6,1
2017-2018,Manchester City,478,1428,389,21,5
2018-2019,Manchester City,233,2369,1243,36,16
2019-2020,Manchester City,277,2774,3446,72,32
2012-2013,Manchester United,8,37,30,2,0
2013-2014,Manchester United,133,768,312,29,4
2014-2015,Manchester United,102,342,225,10,1
2015-2016,Manchester United,146,393,124,4,1
2016-2017,Manchester United,207,677,250,7,2
2017-2018,Manchester United,614,2144,653,23,8
2018-2019,Manchester United,305,3235,1440,39,11
2019-2020,Manchester United,295,4838,3372,69,16
2012-2013,Newcastle,7,18,1,0,0
2013-2014,Newcastle,87,557,297,30,4
2014-2015,Newcastle,73,365,164,21,2
2015-2016,Newcastle,59,187,165,6,1
2016-2017,Newcastle,27,138,111,5,3
2017-2018,Newcastle,141,890,356,14,3
2018-2019,Newcastle,149,2200,1050,32,13
2019-2020,Newcastle,200,2140,2512,65,11
2012-2013,QPR,1,0,2,0,0
2013-2014,QPR,19,195,66,14,0
2014-2015,QPR,52,291,110,19,1
2015-2016,QPR,2,2,0,0,0
2016-2017,QPR,2,44,17,1,0
2017-2018,QPR,5,90,47,4,0
2018-2019,QPR,3,22,22,1,0
2019-2020,QPR,13,13,172,3,5
2012-2013,Southampton,5,18,8,0,1
2013-2014,Southampton,81,564,286,26,5
2014-2015,Southampton,56,239,111,18,2
2015-2016,Southampton,32,112,53,6,0
2016-2017,Southampton,54,204,89,5,1
2017-2018,Southampton,104,346,96,11,2
2018-2019,Southampton,73,480,498,22,5
2019-2020,Southampton,113,1144,1324,49,16
2012-2013,Stoke City,1,3,0,0,0
2013-2014,Stoke City,62,471,247,22,5
2014-2015,Stoke City,27,116,66,17,1
2015-2016,Stoke City,31,51,85,5,0
2016-2017,Stoke City,31,130,82,4,1
2017-2018,Stoke City,98,542,246,6,1
