,home_team,away_team,home_score,away_score,home_strength,away_strength,t-3 home_attacking,t-3 home_defending,t-3 home_oppstrength,t-3 home_home,t-3 away_attacking,t-3 away_defending,t-3 away_oppstrength,t-3 away_home,t-2 home_attacking,t-2 home_defending,t-2 home_oppstrength,t-2 home_home,t-2 away_attacking,t-2 away_defending,t-2 away_oppstrength,t-2 away_home,t-1 home_attacking,t-1 home_defending,t-1 home_oppstrength,t-1 home_home,t-1 away_attacking,t-1 away_defending,t-1 away_oppstrength,t-1 away_home
1,Swansea City,Manchester United,1,4,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
14,Manchester United,Chelsea,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
20,Liverpool,Manchester United,1,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
23,Manchester United,Crystal Palace,2,0,0.6666666666666666,0.0,4,1,0.0,-1,0,1,0.0,1,0,0,0.0,1,1,2,0.0,-1,0,1,0.0,-1,3,1,0.0,1
33,Manchester City,Manchester United,4,1,2.0,0.3333333333333333,4,0,0.0,1,0,0,0.0,1,2,0,0.0,1,0,1,0.0,-1,0,0,0.0,-1,2,0,0.0,1
38,Manchester United,West Bromwich Albion,1,2,-0.6666666666666666,0.3333333333333333,0,1,0.0,-1,0,0,0.0,-1,2,0,0.0,1,0,2,0.0,1,1,4,2.0,-1,3,0,0.0,1
46,Sunderland,Manchester United,1,2,-2.3333333333333335,-0.6666666666666666,1,3,0.0,1,2,0,0.0,1,0,3,-1.0,-1,1,4,2.0,-1,1,3,0.0,1,1,2,0.3333333333333333,1
53,Manchester United,Southampton,1,1,-1.0,1.6666666666666667,1,4,2.0,-1,1,0,0.0,-1,1,2,0.3333333333333333,1,2,0,0.0,1,2,1,-2.3333333333333335,-1,2,0,0.3333333333333333,1
58,Manchester United,Stoke City,3,2,0.0,-0.6666666666666666,1,2,0.3333333333333333,1,0,0,0.0,1,2,1,-2.3333333333333335,-1,1,3,0.3333333333333333,-1,1,1,1.6666666666666667,1,0,0,1.3333333333333333,1
75,Manchester United,Arsenal,1,0,0.6666666666666666,1.3333333333333333,2,1,-2.3333333333333335,-1,1,1,0.6666666666666666,-1,1,1,1.6666666666666667,1,2,0,0.0,-1,3,2,-0.6666666666666666,1,2,0,0.0,1
89,Tottenham Hotspur,Manchester United,2,2,-2.3333333333333335,0.6666666666666666,0,0,0.0,-1,1,1,1.6666666666666667,1,0,1,0.0,1,3,2,-0.6666666666666666,1,0,6,0.0,-1,1,0,1.3333333333333333,1
94,Manchester United,Everton,0,1,0.6666666666666666,1.3333333333333333,3,2,-0.6666666666666666,1,0,0,-2.0,-1,1,0,1.3333333333333333,1,3,3,0.0,1,2,2,-2.3333333333333335,-1,4,0,0.6666666666666666,1
104,Manchester United,Newcastle United,0,1,0.0,-0.3333333333333333,1,0,1.3333333333333333,1,1,0,1.0,-1,2,2,-2.3333333333333335,-1,2,1,0.6666666666666666,1,0,1,1.3333333333333333,1,0,3,-1.0,-1
113,Aston Villa,Manchester United,0,3,0.3333333333333333,-0.6666666666666666,2,2,-0.3333333333333333,-1,2,2,-2.3333333333333335,-1,0,0,-0.6666666666666666,1,0,1,1.3333333333333333,1,3,2,-0.3333333333333333,-1,0,1,-0.3333333333333333,1
116,Manchester United,West Ham United,3,1,0.3333333333333333,-1.3333333333333333,0,1,1.3333333333333333,1,0,1,0.0,-1,0,1,-0.3333333333333333,1,1,4,0.0,-1,3,0,0.0,-1,0,0,-0.6666666666666666,1
126,Hull City,Manchester United,2,3,0.0,1.3333333333333333,1,1,0.0,-1,0,1,-0.3333333333333333,1,0,0,0.0,1,3,0,0.0,-1,1,1,-0.6666666666666666,-1,3,1,-1.3333333333333333,1
141,Manchester United,Tottenham Hotspur,1,2,2.0,1.3333333333333333,3,0,0.0,-1,3,2,0.0,-1,3,1,-1.3333333333333333,1,1,1,-0.6666666666666666,1,3,2,0.0,-1,3,0,0.0,1
144,Manchester United,Swansea City,2,0,0.6666666666666666,-0.6666666666666666,3,1,-1.3333333333333333,1,0,1,0.0,-1,3,2,0.0,-1,1,1,0.0,-1,1,2,1.3333333333333333,1,2,3,1.6666666666666667,1
