,home_team,away_team,t-2 home_attacking,t-2 home_defending,t-2 home_oppstrength,t-2 home_home,t-2 away_attacking,t-2 away_defending,t-2 away_oppstrength,t-2 away_home,t-1 home_attacking,t-1 home_defending,t-1 home_oppstrength,t-1 home_home,t-1 away_attacking,t-1 away_defending,t-1 away_oppstrength,t-1 away_home
1480,Manchester United,Arsenal,2,1,1.5,1,1,1,0.0,1,0,0,-1.5,1,4,2,0.0,1
1485,Liverpool,Manchester United,1,0,-0.5,1,0,0,-1.5,1,3,1,0.0,-1,2,2,1.0,1
1495,Newcastle United,Manchester United,1,1,0.0,-1,2,2,1.0,1,0,4,0.0,-1,1,3,0.0,-1
1498,Tottenham Hotspur,Manchester United,1,0,0.0,1,1,3,0.0,-1,6,2,0.0,-1,2,0,-2.0,-1
1501,Manchester United,Burnley,2,0,-2.0,-1,1,5,-2.0,1,1,0,2.5,-1,2,0,2.0,1
1504,Leicester City,Manchester United,1,0,0.0,-1,1,0,2.5,-1,1,1,0.0,-1,2,2,0.0,1
1510,Manchester United,Liverpool,2,2,0.0,1,1,1,1.0,1,1,0,0.5,-1,1,1,-0.5,-1
1512,Crystal Palace,Manchester United,1,1,0.5,1,1,0,0.5,-1,4,1,0.0,-1,0,0,0.0,1
1519,Arsenal,Manchester United,2,0,0.0,1,0,0,0.0,1,1,1,0.0,-1,3,1,1.5,-1
1531,Manchester United,West Ham United,3,1,1.5,-1,0,2,0.0,1,0,2,1.0,-1,0,2,0.0,-1
1534,Everton,Manchester United,2,0,1.0,-1,0,2,1.0,-1,1,0,2.0,1,2,1,-2.0,1
1539,Manchester United,Chelsea,2,1,-2.0,1,0,2,1.5,-1,0,4,1.5,-1,2,2,0.0,1
1549,Manchester United,Chelsea,0,4,1.5,-1,1,1,-1.5,-1,1,1,0.0,1,0,0,1.5,-1
1553,Manchester United,Crystal Palace,1,1,0.0,1,0,0,0.0,1,4,0,0.0,1,0,0,0.0,1
1560,Manchester United,Leicester City,4,0,0.0,1,0,0,0.0,1,1,2,0.0,1,1,1,0.0,-1
1565,West Ham United,Manchester United,1,0,0.5,-1,1,2,0.0,1,0,0,0.0,-1,1,0,0.0,1
1569,Manchester United,Arsenal,1,0,0.0,1,2,2,0.0,1,0,2,0.5,-1,3,2,0.0,1
1573,Newcastle United,Manchester United,1,3,0.0,-1,0,2,0.5,-1,0,5,0.0,-1,1,1,0.5,1
1577,Manchester United,Liverpool,1,1,0.5,1,2,1,0.0,-1,0,1,-3.5,-1,2,1,3.0,1
1593,Manchester United,Aston Villa,0,1,-3.5,-1,1,2,0.5,1,1,1,0.0,1,2,0,0.0,1
1595,Manchester United,Tottenham Hotspur,1,1,0.0,1,1,1,0.0,-1,2,2,0.0,1,3,2,0.0,-1
1603,Manchester United,Everton,2,2,0.0,1,2,5,0.0,-1,2,1,0.5,1,3,1,0.0,1
1610,Manchester United,Newcastle United,2,1,0.5,1,0,1,0.0,-1,1,1,-0.5,1,1,0,0.0,1
1611,Burnley,Manchester United,1,0,-0.5,1,1,1,-0.5,1,0,1,0.0,-1,4,1,0.0,1
1615,Arsenal,Manchester United,0,0,0.0,-1,4,1,0.0,1,1,2,0.0,1,2,0,0.0,-1
1623,Liverpool,Manchester United,4,0,2.0,-1,2,0,0.0,-1,1,0,1.5,-1,0,2,-0.5,-1
1627,Manchester United,Burnley,0,2,-0.5,-1,0,3,1.5,-1,0,2,0.0,-1,2,1,2.0,1
1635,Chelsea,Manchester United,2,2,1.0,1,0,2,0.0,-1,2,2,1.0,-1,0,2,0.0,1
1641,Everton,Manchester United,3,1,0.5,1,0,2,0.0,1,2,3,2.0,-1,2,0,0.0,-1
1646,Tottenham Hotspur,Manchester United,1,2,0.0,-1,2,0,0.0,-1,1,1,0.0,-1,1,1,0.5,-1
